gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
3308,2103,-661,1433,44
3338,2115,-662,1433,56
3359,2126,-662,1433,66
3380,2139,-662,1433,78
3401,2148,-662,1432,89
3418,2154,-662,1432,99
3434,2155,-662,1430,111
3439,2152,-662,1429,122
3440,2153,-662,1429,132
3440,2154,-663,1429,145
3439,2155,-663,1429,155
3441,2155,-663,1429,166
3445,2153,-663,1428,177
3448,2150,-663,1427,189
3449,2147,-663,1427,199
3445,2145,-664,1426,211
3441,2141,-664,1426,222
3437,2137,-664,1426,232
3432,2131,-665,1425,244
3429,2127,-666,1424,255
3426,2127,-666,1424,266
3424,2130,-668,1423,278
3423,2134,-669,1423,288
3421,2138,-669,1423,299
3417,2142,-670,1422,311
3412,2144,-671,1422,323
